AreaCode,AreaName,resPop2005,nonUK2005,NAI2005,resPop2006,nonUK2006,NAI2006,resPop2007,nonUK2007,NAI2007,resPop2008,nonUK2008,NAI2008,resPop2009,nonUK2009,NAI2009,resPop2010,nonUK2010,NAI2010,resPop2011,nonUK2011,NAI2011,resPop2012,nonUK2012,NAI2012,resPop2013,nonUK2013,NAI2013,resPop2014,nonUK2014,NAI2014,resPop2015,nonUK2015,NAI2015,resPop2016,nonUK2016,NAI2016
E06000001,Hartlepool,90000,2000,1000,90000,2000,1000,90000,2000,1000,90000,2000,1000,91000,2000,1000,91000,2000,1000,91000,3000,1000,91000,3000,1000,91000,3000,1000,92000,3000,1000,92000,3000,1000,92000,3000,1000
E06000002,Middlesbrough,137000,8000,2000,137000,8000,2000,137000,8000,2000,137000,8000,2000,136000,8000,2000,136000,11000,3000,137000,11000,3000,138000,10000,3000,138000,11000,3000,138000,13000,3000,138000,13000,3000,139000,15000,4000
E06000003,Redcar and Cleveland,137000,4000,2000,136000,3000,1000,135000,3000,1000,135000,2000,1000,135000,3000,1000,134000,3000,1000,134000,3000,1000,134000,3000,1000,133000,3000,1000,133000,2000,1000,134000,3000,2000,133000,4000,2000
E06000004,Stockton-on-Tees,184000,8000,3000,184000,6000,3000,185000,6000,3000,186000,8000,3000,187000,7000,3000,188000,7000,3000,189000,7000,3000,190000,7000,3000,190000,6000,3000,191000,8000,3000,192000,7000,3000,193000,14000,5000
E06000005,Darlington,99000,4000,1000,100000,3000,1000,101000,5000,2000,102000,5000,2000,103000,7000,2000,104000,8000,2000,104000,8000,2000,104000,6000,2000,104000,7000,2000,104000,7000,2000,104000,8000,2000,104000,8000,2000
E06000006,Halton,119000,2000,1000,121000,2000,1000,121000,3000,1000,122000,3000,1000,123000,3000,2000,124000,4000,2000,125000,3000,1000,125000,4000,2000,125000,4000,2000,125000,4000,2000,126000,5000,2000,126000,4000,2000
E06000007,Warrington,190000,6000,3000,192000,6000,3000,194000,7000,3000,195000,8000,3000,197000,10000,3000,198000,13000,4000,200000,16000,5000,200000,14000,4000,201000,17000,5000,202000,15000,4000,205000,18000,5000,206000,19000,5000
E06000008,Blackburn with Darwen,141000,15000,3000,141000,16000,3000,142000,18000,4000,143000,19000,4000,145000,20000,4000,145000,22000,4000,146000,22000,4000,146000,21000,4000,146000,20000,4000,146000,21000,4000,145000,23000,4000,145000,24000,4000
E06000009,Blackpool,139000,4000,2000,138000,5000,2000,139000,6000,2000,138000,7000,2000,138000,6000,2000,138000,7000,2000,138000,8000,2000,138000,8000,2000,137000,11000,3000,137000,8000,3000,136000,9000,3000,136000,8000,3000
E06000010,"Kingston upon Hull, City of",252000,10000,4000,252000,10000,4000,252000,16000,5000,253000,22000,5000,253000,21000,5000,253000,21000,5000,253000,20000,5000,254000,23000,6000,254000,25000,6000,254000,26000,6000,255000,26000,7000,256000,23000,7000
E06000011,East Riding of Yorkshire,322000,7000,3000,323000,9000,4000,325000,8000,4000,327000,8000,4000,327000,10000,4000,328000,10000,4000,329000,12000,5000,330000,15000,6000,331000,12000,5000,332000,14000,6000,332000,13000,5000,333000,15000,6000
E06000012,North East Lincolnshire,157000,3000,2000,157000,4000,2000,157000,6000,2000,157000,6000,2000,157000,6000,2000,157000,6000,2000,158000,6000,2000,158000,6000,2000,158000,6000,2000,158000,6000,2000,158000,8000,3000,158000,8000,3000
E06000013,North Lincolnshire,158000,7000,2000,160000,8000,3000,161000,6000,3000,163000,7000,3000,164000,9000,3000,165000,9000,3000,166000,12000,4000,167000,11000,3000,168000,12000,3000,169000,12000,4000,168000,10000,3000,169000,16000,4000
